Date,Type,DoW,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01,01 ~ 02
2016.1.1,on,Fri,1187,909,562,568,604,777,858,1183,1425,1629,1895,2268,2549,2524,2386,2486,3333,3481,2054,0,0
2016.1.1,off,Fri,110,551,635,1066,1809,1506,1553,2123,2366,2519,2344,2861,3259,3202,2529,1925,1610,1351,913,2,0
2016.1.2,on,Sat,402,509,515,747,1056,1368,1808,2492,3075,3451,3995,4928,5544,4643,3537,3754,4982,5591,3423,0,0
2016.1.2,off,Sat,118,548,889,2372,4396,3613,3314,4357,5205,4894,4447,4544,5552,5689,3703,2622,2354,1764,1534,5,0
2016.1.3,on,Sun,646,547,473,600,895,917,1245,1707,1983,2317,2734,3370,3642,3526,3084,3493,4327,3835,1812,0,0
2016.1.3,off,Sun,64,421,609,1206,2412,2069,2413,3138,3969,3529,3384,3569,3863,3516,2490,1846,1502,1092,711,0,0
2016.1.4,on,Mon,234,767,2029,3475,2475,2548,3292,4192,5531,5549,6020,7061,8748,14790,11444,8796,10603,9684,3757,743,0
2016.1.4,off,Mon,345,2776,9394,16257,15901,6407,5356,5234,6472,5138,5069,4723,5815,9121,6911,3046,2164,1661,979,389,0
2016.1.5,on,Tue,331,761,2250,3441,2513,2515,3387,4236,5637,5494,6015,7061,8736,14517,10999,8605,10978,10174,4200,813,0
2016.1.5,off,Tue,284,2728,8171,16342,16255,6593,5427,5299,6649,4982,4551,4862,5429,9389,8151,3105,2173,1795,1084,385,1
2016.1.6,on,Wed,360,758,2187,3409,2464,2442,3290,4105,5773,5344,6136,7235,9338,14714,10737,8283,10751,10864,4696,953,1
2016.1.6,off,Wed,291,2647,8584,16802,15040,6504,5784,5327,6512,5274,4674,4767,5641,10256,7923,3061,2419,1989,1142,398,1
2016.1.7,on,Thu,335,700,2098,3395,2538,2345,3301,4112,5716,5259,6163,6890,8810,14334,11073,8417,11253,10816,4951,972,0
2016.1.7,off,Thu,285,2539,8271,16981,14856,6493,5747,5443,6385,5222,4757,4755,6025,10088,8520,3224,2376,1944,1319,407,0
2016.1.8,on,Fri,384,699,2055,3442,2675,2373,3387,4239,5637,5319,6343,7168,9655,15749,11886,8220,10060,11572,7766,1709,0
2016.1.8,off,Fri,309,2441,8111,16054,15265,6715,5579,5693,6583,5368,4909,5071,6620,11905,12237,5380,3070,2609,1864,693,0
2016.1.9,on,Sat,743,753,745,1160,1393,1836,2524,3823,5426,5418,6288,7547,8332,7146,5064,5159,6495,7902,4450,0,0
2016.1.9,off,Sat,161,909,1451,3807,7019,5578,4943,6112,8402,6659,6392,6376,7931,8014,5417,3292,2763,2241,1661,15,0
2016.1.10,on,Sun,697,676,541,690,999,1083,1390,1961,2873,3090,3328,3812,4347,4079,3762,3744,4778,4139,1813,1,0
2016.1.10,off,Sun,111,444,587,1388,3216,2560,2794,3780,4728,4089,3629,3839,4432,3516,2734,1842,1482,1218,757,1,0
2016.1.11,on,Mon,295,776,2090,3348,2630,2338,3375,4121,5688,5218,6186,7078,8839,14377,11146,8688,10771,10023,3664,754,0
2016.1.11,off,Mon,325,2684,8858,17217,15231,6585,5662,5116,6661,5028,4643,4872,5631,9118,7193,2841,2082,1715,955,342,0
2016.1.12,on,Tue,352,707,2185,3503,2514,2338,3426,4259,5681,5235,5983,6984,8927,14756,10858,8470,10731,10608,4109,791,0
2016.1.12,off,Tue,301,2612,8430,15604,16252,6502,5842,5337,6505,5188,4857,4629,5669,9270,7822,2950,2101,1913,1020,417,0
2016.1.13,on,Wed,352,782,1877,3755,2662,2441,3464,4119,5850,5251,6128,7442,9205,15111,10929,8188,10992,11141,4771,1046,0
2016.1.13,off,Wed,280,2552,8765,16490,14785,6641,5685,5149,6348,5143,4941,4927,6396,9853,8166,3302,2258,1962,1212,384,0
2016.1.14,on,Thu,384,688,2167,3587,2589,2451,3260,4220,5783,5164,5947,6973,8780,14178,10863,8276,11027,11263,5264,1099,0
2016.1.14,off,Thu,283,2486,8203,16438,15214,6556,5777,5202,6878,4876,4916,4874,6175,9824,8647,3348,2169,2100,1424,500,0
2016.1.15,on,Fri,364,717,2078,3429,2574,2431,3344,4208,5734,5086,6284,7171,9362,15603,11785,8312,9810,11254,7186,1737,4
2016.1.15,off,Fri,277,2467,7983,15906,15073,6500,5743,5523,6280,5578,4986,5198,6627,11222,12253,4860,2951,2721,1836,758,73
2016.1.16,on,Sat,722,762,713,1093,1377,1773,2602,3752,5642,5480,5695,7339,8264,7162,5177,5006,6358,7819,4266,1,0
2016.1.16,off,Sat,166,836,1527,3762,6998,5604,5388,6286,7646,7008,6170,6345,7342,7331,4985,2917,2533,2232,1647,10,0
2016.1.17,on,Sun,665,673,471,663,1049,1100,1422,1996,2584,2893,3092,3684,4236,4142,3577,3658,4534,4153,1708,0,0
2016.1.17,off,Sun,67,443,597,1398,3066,2432,2767,3731,4648,3811,3582,3597,4054,3562,2484,1816,1520,1215,690,0,0
2016.1.18,on,Mon,267,785,1801,3395,2734,2347,3315,4102,5575,5016,5800,7053,8428,14228,11063,8501,10313,9831,3398,608,0
2016.1.18,off,Mon,314,2502,8683,16732,14662,7115,5609,5051,6549,4929,4607,4767,5396,8537,6777,2883,1999,1559,846,347,0
2016.1.19,on,Tue,319,699,2124,3369,2493,2091,3196,4015,5398,4626,5628,6474,8146,13800,10589,7999,10243,9325,3561,650,0
2016.1.19,off,Tue,262,2185,8330,16015,14442,6508,5420,4949,5847,4432,4304,4245,5180,8299,6669,2569,1935,1533,900,309,0
2016.1.20,on,Wed,305,688,2053,3306,2499,2238,3253,3956,5444,4762,5801,6685,8675,14470,10801,7952,10489,10375,4253,872,0
2016.1.20,off,Wed,296,2341,8317,15836,15058,6610,5329,4981,6447,4763,4662,4482,5376,9295,7451,2794,2135,1719,1132,389,0
2016.1.21,on,Thu,378,735,2010,3362,2532,2209,3322,3967,5611,4837,5704,6639,8320,13703,10497,8279,10775,10612,4973,894,0
2016.1.21,off,Thu,268,2319,8051,16017,14224,6552,5590,5122,6125,5074,4606,4501,5673,9445,7815,3139,2449,1959,1272,409,0
2016.1.22,on,Fri,370,734,2011,3391,2529,2148,3365,4339,5367,5035,5942,6886,9057,15089,11378,8279,10088,11407,6963,1611,0
2016.1.22,off,Fri,296,2285,7922,16181,14277,6425,5640,5084,6156,4942,5238,4881,6260,11465,11231,4854,3063,2456,1746,702,2
2016.1.23,on,Sat,681,751,608,1014,1357,1742,2498,3761,5172,5252,5699,6994,7975,6785,4809,4935,6268,7025,3650,0,0
2016.1.23,off,Sat,148,782,1420,3605,7016,5740,4889,6063,7156,6438,6058,5116,6857,6888,4440,2883,2161,1903,1127,215,0
2016.1.24,on,Sun,488,551,402,589,782,852,1198,1870,2422,2438,2752,2915,3416,3255,2769,2787,3574,3246,1359,0,0
2016.1.24,off,Sun,78,368,571,1334,2890,2201,2701,2890,3725,2861,2590,2701,2864,2788,1974,1468,1183,935,563,0,0
2016.1.25,on,Mon,244,723,1867,3235,2535,2137,3161,3885,5219,4567,5720,6576,7960,13725,11254,8328,10059,9435,3810,680,0
2016.1.25,off,Mon,255,2319,8217,15826,14924,6585,5244,4711,5983,4918,4560,4349,5221,8263,6906,2804,2084,1569,1020,304,0
2016.1.26,on,Tue,319,646,1712,3420,2770,2451,3146,4114,5364,4838,5867,6782,8331,13896,11214,8142,10575,10295,4360,856,0
