Seq,Chest,Height,Waist,Head,Foot,Weight
1,96.300,185.500,82.500,57.100,28.500,73.200
2,101.900,167.200,81.200,55.000,24.200,65.100
3,99.500,179.900,99.200,56.300,28.100,93.200
4,98.600,171.400,85.900,54.500,27.400,71.600
5,94.700,176.900,78.300,58.500,26.500,67.100
6,122.300,180.500,118.400,61.500,29.000,114.200
7,98.000,180.400,93.600,59.900,27.100,76.500
8,89.600,173.900,71.100,53.900,26.800,53.000
9,93.800,178.700,82.900,57.700,28.600,69.700
10,122.300,180.500,118.400,61.500,29.000,114.200
11,115.400,173.100,112.600,59.100,27.700,95.300
12,98.000,178.500,95.400,57.100,27.200,78.700
13,83.100,172.600,75.700,57.900,26.200,58.600
14,94.700,170.700,81.700,56.400,26.200,66.700
15,97.100,175.000,87.300,56.400,27.400,77.800
16,98.800,175.800,89.600,58.500,26.200,77.800
17,95.900,182.900,85.800,58.400,29.200,80.400
18,87.600,169.300,75.400,55.700,25.300,54.600
19,93.100,177.400,79.700,59.900,27.500,69.000
20,94.400,168.300,72.200,60.000,23.800,59.100
21,86.400,173.400,81.700,56.300,27.300,63.800
22,104.100,173.200,91.400,56.700,26.000,74.600
23,106.400,180.100,97.300,57.800,27.600,90.400
24,92.000,172.400,86.600,57.300,26.300,67.800
25,112.100,186.800,105.200,62.000,27.700,103.300
26,94.500,175.600,84.200,58.900,26.500,68.100
27,104.600,176.300,89.300,59.600,27.000,80.600
28,102.300,180.700,81.600,59.900,27.900,69.000
29,94.300,175.300,76.300,58.100,27.800,59.200
30,89.100,177.700,69.500,57.300,26.300,55.500
31,89.500,171.700,80.800,56.900,27.900,65.100
32,103.000,178.900,93.600,59.400,26.700,78.000
33,90.200,184.100,86.300,60.300,28.000,75.000
34,95.300,173.900,81.200,55.900,24.600,66.700
35,98.900,185.100,96.300,61.900,29.900,83.200
36,92.300,172.200,86.200,57.300,27.400,70.100
37,91.900,179.300,84.300,56.100,26.900,69.800
38,93.100,179.300,84.700,57.700,27.600,65.200
39,95.800,176.800,88.600,56.900,27.000,75.300
40,92.600,178.500,81.100,56.300,27.000,68.800
41,93.800,178.700,82.900,57.700,28.600,69.700
42,88.000,178.100,82.100,56.300,28.100,66.100
43,110.700,169.200,95.600,62.200,29.700,75.800
44,98.500,168.600,85.900,59.800,25.500,66.500
45,88.900,179.900,80.800,55.700,26.500,65.100
46,107.600,179.100,95.000,57.600,27.700,88.400
47,88.500,178.900,112.600,56.100,26.100,58.800
48,84.500,174.500,75.000,56.900,25.300,53.100
49,82.500,168.500,67.100,56.200,25.200,49.500
50,123.300,169.200,114.700,61.600,25.500,102.400
51,98.200,167.200,82.900,56.300,26.100,76.800
52,88.800,171.700,80.700,56.500,25.600,62.700
53,98.900,175.300,89.400,62.000,28.000,85.000
54,98.600,173.600,98.500,58.500,27.300,79.000
55,81.400,169.500,72.100,56.700,24.800,57.700
56,97.400,182.400,82.100,56.500,28.300,76.800
57,100.400,174.400,94.200,58.900,28.400,83.300
58,96.600,176.500,88.300,58.500,26.800,72.900
59,87.000,179.700,74.900,55.600,28.400,66.200
60,99.100,175.800,87.700,58.200,26.400,67.400
61,85.100,181.500,78.100,60.000,26.400,70.900
62,102.100,175.700,95.500,57.500,26.200,72.200
63,87.600,174.300,88.000,59.400,24.100,75.700
64,100.900,177.800,97.500,59.900,26.500,85.100
65,89.900,184.100,116.500,56.600,28.300,65.100
66,92.300,174.500,83.300,58.000,26.600,61.900
67,94.300,179.700,110.800,57.000,28.700,68.500
68,90.700,169.800,79.100,57.400,26.600,62.900
69,89.800,179.400,76.500,52.400,27.900,60.500
70,84.000,175.000,73.100,55.000,25.900,55.000
71,89.400,171.000,87.000,58.700,27.100,64.900
72,92.300,171.000,82.900,56.600,26.100,63.900
73,95.900,182.900,85.800,58.400,29.200,80.400
74,87.800,163.100,85.900,55.600,24.200,62.500
75,86.300,168.000,112.400,56.000,26.600,57.900
76,92.500,174.200,77.900,58.400,26.500,64.100
77,99.000,175.700,101.300,57.000,27.200,84.400
78,113.800,175.000,116.300,60.500,28.000,103.500
79,96.300,176.000,81.400,56.100,27.800,78.900
80,100.400,181.800,91.400,56.200,27.800,77.300
81,95.600,172.500,85.800,55.600,26.800,67.600
82,88.100,178.100,77.800,58.800,25.300,59.800
83,87.600,183.000,81.800,59.400,27.700,71.800
84,99.900,178.700,77.900,58.000,24.800,60.600
85,99.500,181.600,87.900,55.500,27.500,74.400
86,89.700,180.200,84.100,59.300,27.200,66.900
87,93.500,175.000,78.200,57.400,25.800,75.000
88,92.600,166.300,76.700,56.000,25.400,60.600
89,90.000,178.400,74.900,54.800,26.400,62.600
90,94.000,170.400,84.600,57.900,25.500,65.700
91,86.000,176.700,69.400,57.300,26.300,62.500
92,81.800,163.600,66.400,56.300,24.000,43.300
93,93.500,182.400,75.400,57.100,27.400,68.200
94,97.500,172.300,79.500,55.300,26.800,61.800
95,90.300,168.400,79.500,56.400,28.700,57.600
96,91.300,170.500,82.500,56.400,27.200,61.000
97,89.600,170.300,105.100,53.300,25.000,60.000
98,95.100,167.200,85.200,57.200,24.900,68.700
99,83.600,167.300,63.900,54.400,24.800,46.800
100,109.500,172.300,97.800,60.800,23.600,77.700
101,95.000,168.200,87.100,57.300,26.100,71.300
102,106.800,174.100,100.200,59.900,26.200,89.100
103,99.500,175.700,87.300,56.300,27.700,81.800
104,111.700,176.000,103.800,59.500,27.600,96.600
105,112.100,186.100,106.400,59.000,27.200,101.700
106,98.700,170.600,89.000,56.800,26.300,69.800
107,81.500,171.900,75.700,55.800,26.500,60.100
108,94.900,183.200,76.600,57.000,28.500,60.200
109,86.100,176.200,68.700,55.600,26.600,58.600
110,88.600,180.600,81.200,57.200,29.300,61.300
111,89.200,173.600,73.000,57.600,28.000,64.900
112,81.500,167.100,77.900,53.000,25.700,53.000
113,108.500,167.100,95.800,59.400,27.300,93.500
114,89.900,177.600,73.300,57.500,31.800,56.700
115,94.300,178.600,82.700,55.500,26.900,73.800
116,89.800,175.400,79.200,57.200,26.700,66.200
117,85.400,176.800,74.900,59.800,28.500,60.900
118,97.400,168.300,84.900,61.700,25.400,65.800
119,98.000,178.200,86.500,56.400,25.800,70.600
120,103.700,183.700,104.400,59.300,30.100,94.700
121,97.000,169.100,92.600,55.400,26.300,77.800
122,96.900,168.300,78.700,55.700,25.700,63.300
123,93.700,179.000,85.100,60.200,26.500,79.700
124,100.900,171.100,91.900,55.100,27.300,69.700
125,96.900,176.600,92.600,56.400,26.600,80.200
126,83.300,164.900,73.400,57.800,25.000,46.600
127,93.400,174.900,98.400,56.000,26.800,86.400
128,112.900,180.100,105.100,58.300,27.600,98.500
129,83.600,174.700,75.500,56.000,26.900,57.300
130,87.900,180.400,75.500,56.800,27.700,61.200
131,81.200,174.600,80.100,56.000,26.400,67.000
132,98.500,160.600,98.500,56.200,24.100,69.800
133,100.900,178.100,79.200,55.600,28.500,72.100
134,79.800,165.000,70.000,57.000,24.200,49.300
135,84.900,171.700,75.300,55.900,26.500,60.800
136,100.400,166.600,97.100,56.000,26.400,76.600
137,83.000,178.000,71.300,54.600,26.200,58.100
138,122.000,180.300,122.100,60.800,27.800,113.400
139,87.500,173.400,72.900,55.900,27.400,64.600
140,100.200,179.300,90.800,55.000,27.900,73.500
141,89.600,179.600,77.100,56.500,27.800,64.700
142,88.100,172.700,77.400,55.100,25.100,54.900
143,90.500,165.000,78.800,54.800,24.700,63.400
144,91.800,168.000,81.200,57.600,24.200,65.900
145,93.800,175.100,85.000,56.000,27.500,71.900
146,95.000,176.200,77.300,57.600,26.400,67.300
147,98.300,182.300,92.200,59.400,26.900,78.400
148,82.600,164.100,75.800,58.500,26.000,51.800
149,95.600,173.500,83.000,57.000,26.900,71.700
150,89.200,166.100,78.000,55.800,24.500,62.400
151,94.400,183.500,87.700,58.200,28.000,76.700
152,112.900,177.800,113.200,56.800,26.400,99.900
153,91.100,178.800,83.300,57.200,25.400,66.600
154,95.700,184.000,87.900,56.700,27.100,73.900
155,92.500,173.500,79.100,56.400,27.300,69.200
156,95.800,180.500,85.900,57.700,26.700,74.200
157,92.500,177.200,82.700,56.700,26.400,70.300
158,97.400,168.300,84.900,61.700,25.400,81.800
159,86.600,175.400,69.500,55.200,27.200,57.100
160,92.000,169.600,87.400,56.900,26.500,65.200
161,87.900,168.200,84.000,57.800,27.000,68.600
162,84.100,173.900,72.400,58.700,25.600,51.000
163,90.000,171.100,80.900,55.400,25.900,63.500
164,103.100,167.200,103.000,58.300,25.000,74.400
165,86.600,170.000,78.000,54.300,26.800,60.800
166,82.100,165.900,77.200,55.600,23.600,52.500
167,90.800,167.100,79.100,56.800,26.500,62.500
168,100.000,173.600,99.700,57.400,26.400,77.600
169,82.100,173.200,75.100,56.100,25.300,63.100
170,97.100,166.100,89.700,54.100,25.400,67.300
171,91.600,168.700,80.800,55.100,25.000,65.100
172,101.300,177.800,88.200,62.100,27.200,76.500
173,94.800,171.800,92.800,55.600,24.900,74.900
174,92.500,166.400,82.200,53.900,25.000,59.100
175,88.100,171.700,78.700,58.300,27.700,66.800
176,99.100,166.600,96.500,57.900,25.300,74.800
177,90.300,174.000,79.700,56.100,26.600,66.300
178,89.400,171.900,79.200,59.200,23.700,56.300
179,93.400,173.500,74.300,57.400,27.800,64.200
180,103.100,173.600,91.600,55.700,26.000,76.800
181,88.000,175.000,78.700,55.100,27.100,59.800
182,109.900,182.800,99.700,60.600,26.500,89.700
183,101.200,169.600,92.000,56.500,26.200,73.900
184,106.900,173.700,102.800,57.400,26.200,86.200
185,92.500,177.700,80.200,55.100,27.700,69.500
186,92.900,171.400,83.000,55.600,26.400,63.100
187,92.900,179.900,81.700,57.100,26.500,68.700
188,114.500,175.000,112.500,59.000,26.000,98.500
189,86.000,172.100,75.300,56.800,26.500,60.600
190,84.400,173.900,75.900,57.200,26.200,57.400
191,87.600,166.300,73.100,55.200,24.300,57.400
192,97.100,169.700,93.000,58.200,27.000,73.100
193,101.500,173.600,86.300,58.800,28.300,76.600
194,100.100,173.000,87.700,60.100,26.200,72.000
195,90.800,171.000,76.700,56.800,27.400,60.100
196,108.800,171.500,93.800,57.100,26.100,80.500
197,86.600,180.100,80.400,56.200,27.300,68.800
198,89.700,167.100,71.600,56.000,26.000,54.600
199,95.600,173.300,86.200,54.900,25.400,67.800
200,87.300,160.900,74.700,59.800,25.000,57.100
201,95.700,173.300,82.500,53.800,25.800,71.600
202,127.600,170.400,101.800,59.600,26.100,81.100
203,93.700,175.600,82.000,58.700,27.500,70.600
204,99.800,175.300,90.400,62.400,26.300,73.200
205,98.400,179.900,89.500,60.600,27.200,79.700
